,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,putnam,90,US,1553323565,79,41.92,41.92,35.01,21.92
1,dikson,48,RU,1553323566,100,73.51,73.51,3.42,20.29
2,saint anthony,90,US,1553323237,100,43.97,43.97,39.2,4.7
3,butaritari,92,KI,1553323567,100,3.07,3.07,77.49,3.96
4,bethel,90,US,1553320560,86,60.79,60.79,39.2,6.93
5,monrovia,40,LR,1553320800,94,6.33,6.33,75.2,5.41
6,ushuaia,90,AR,1553320800,93,-54.81,-54.81,46.4,5.82
7,hithadhoo,0,MV,1553323568,99,-0.6,-0.6,86.31,6.76
8,cabo san lucas,5,MX,1553323563,52,22.89,22.89,69.01,4.7
9,kinablangan,0,PH,1553323569,100,7.69,7.69,81.0,9.89
10,teahupoo,40,PF,1553323389,74,-17.83,-17.83,82.4,2.24
11,port alfred,80,ZA,1553323557,88,-33.59,-33.59,71.01,1.01
12,dingle,20,PH,1553323570,48,11.0,11.0,89.01,11.68
13,hermanus,8,ZA,1553322769,80,-34.42,-34.42,69.01,3.0
14,mahebourg,75,MU,1553323440,74,-20.41,-20.41,86.0,9.17
15,rikitea,92,PF,1553323572,100,-23.12,-23.12,78.39,21.85
16,trairi,64,BR,1553323572,100,-3.28,-3.28,78.12,6.64
17,morondava,0,MG,1553323464,75,-20.3,-20.3,85.41,3.85
18,yellowknife,90,CA,1553323519,79,62.45,62.45,19.4,13.87
19,brownsville,75,US,1553323534,88,25.91,25.91,70.0,8.05
20,mati,20,PH,1553320800,43,6.96,6.96,91.4,13.87
21,shahrud,0,IR,1553323548,82,36.42,36.42,38.61,3.62
22,mataura,32,NZ,1553323206,72,-46.19,-46.19,69.01,1.01
23,lakes entrance,64,AU,1553323439,56,-37.88,-37.88,80.01,3.0
24,provideniya,92,RU,1553323576,100,64.42,64.42,15.12,10.22
25,chuy,44,UY,1553323576,95,-33.69,-33.69,58.86,3.18
26,turukhansk,80,RU,1553323576,96,65.8,65.8,26.19,4.74
27,chazuta,68,PE,1553323577,95,-6.57,-6.57,73.26,1.05
28,goderich,0,CA,1553323551,75,43.74,43.74,28.99,5.01
29,tasiilaq,88,GL,1553320200,51,65.61,65.61,12.2,4.7
30,malpe,40,IN,1553320800,58,13.35,13.35,87.8,6.93
31,punta arenas,20,CL,1553323394,93,-53.16,-53.16,46.4,6.93
32,cidreira,88,BR,1553323579,100,-30.17,-30.17,62.64,4.85
33,montpellier,0,FR,1553323155,69,43.61,43.61,52.0,2.73
34,barrow,20,AR,1553323580,67,-38.31,-38.31,59.67,13.47
35,deniliquin,24,AU,1553323580,31,-35.53,-35.53,90.09,17.27
36,flinders,92,AU,1553323579,83,-34.58,-34.58,78.01,8.05
37,norman wells,75,CA,1553320800,67,65.28,65.28,21.2,14.99
38,karonga,44,MW,1553323581,100,-9.94,-9.94,74.79,8.77
39,atuona,8,PF,1553323582,98,-9.8,-9.8,82.62,16.71
40,khatanga,8,RU,1553323582,78,71.98,71.98,-7.84,9.22
41,ribeira grande,88,PT,1553323582,100,38.52,38.52,58.59,26.11
42,tuatapere,48,NZ,1553323206,72,-46.13,-46.13,69.01,1.01
43,albany,90,US,1553323505,86,42.65,42.65,30.99,16.11
44,east london,0,ZA,1553320800,73,-33.02,-33.02,73.4,9.17
45,zamora,0,ES,1553323291,94,41.51,41.51,36.0,1.12
46,basiad,8,PH,1553323584,90,14.16,14.16,81.72,13.24
47,yeniseysk,44,RU,1553323584,83,58.45,58.45,32.22,3.51
48,vanimo,80,PG,1553323585,99,-2.67,-2.67,83.25,13.69
49,luba,0,PH,1553323585,47,17.32,17.32,86.76,6.87
50,codrington,36,AU,1553323520,55,-28.95,-28.95,93.2,3.36
51,kodiak,1,US,1553323534,24,39.95,39.95,50.0,10.29
52,high rock,76,BS,1553323586,100,26.63,26.63,71.19,7.76
53,qaanaaq,24,GL,1553323292,84,77.48,77.48,-27.91,8.77
54,isla aguada,20,MX,1553319660,69,18.78,18.78,77.0,12.75
55,torbay,90,CA,1553323581,100,47.66,47.66,41.0,21.92
56,jamestown,92,AU,1553323588,73,-33.21,-33.21,71.82,10.33
57,broken hill,0,AU,1553320800,20,-31.97,-31.97,93.2,14.99
58,atbasar,88,KZ,1553323588,99,51.81,51.81,40.41,3.85
59,victoria,75,BN,1553320800,66,5.28,5.28,91.4,5.82
60,busselton,0,AU,1553323550,24,-33.64,-33.64,73.0,12.57
61,pisco,0,PE,1553320800,83,-13.71,-13.71,69.8,4.7
62,kruisfontein,64,ZA,1553323590,87,-34.0,-34.0,66.06,6.76
63,aykhal,44,RU,1553323590,64,65.95,65.95,1.62,12.46
64,tayshet,88,RU,1553323591,54,55.94,55.94,37.08,6.53
65,kodinar,0,IN,1553323591,21,20.79,20.79,96.21,9.89
66,nouadhibou,75,MR,1553320800,88,20.93,20.93,64.4,8.05
67,kidal,92,ML,1553323592,14,18.44,18.44,70.11,8.77
68,tuktoyaktuk,0,CA,1553323592,99,69.44,69.44,1.98,22.08
69,huambo,36,AO,1553323593,93,-12.78,-12.78,60.03,2.95
70,airai,32,TL,1553323593,53,-8.93,-8.93,85.14,2.73
71,hailar,8,CN,1553323504,29,49.2,49.2,34.38,18.84
72,labuhan,36,ID,1553323594,75,-2.54,-2.54,84.6,2.62
73,bluff,0,AU,1553323595,39,-23.58,-23.58,92.25,8.99
74,georgetown,0,GY,1553320800,88,6.8,6.8,73.4,2.24
75,nikolskoye,0,RU,1553323536,64,59.7,59.7,35.01,11.18
76,vaini,0,IN,1553320800,15,15.34,15.34,91.4,11.41
77,oneonta,88,US,1553323593,93,42.45,42.45,27.0,3.0
78,katherine,48,AU,1553320800,56,-14.47,-14.47,93.2,12.75
